T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	5.4	560.158	0.673669	0.00891153	0.673669	0.900795	3.75555
0.99999	1e-05	5.6	684.179	0.672797	0.00870888	0.672797	0.899629	3.76042
0.99999	1e-05	5.8	835.658	0.671965	0.00851539	0.671965	0.898517	3.76508
0.99999	1e-05	6	1020.67	0.671172	0.00833046	0.671172	0.897456	3.76953
0.99999	1e-05	6.2	1246.66	0.670413	0.00815352	0.670413	0.896442	3.77379
0.99999	1e-05	6.4	1522.67	0.669688	0.00798405	0.669688	0.895472	3.77788
0.99999	1e-05	6.6	1859.79	0.668995	0.00782159	0.668995	0.894545	3.78179
0.99999	1e-05	6.8	2271.55	0.66833	0.0076657	0.66833	0.893655	3.78556
0.99999	1e-05	7	2774.48	0.667692	0.007516	0.667692	0.892803	3.78917
0.99999	1e-05	7.2	3388.76	0.66708	0.00737211	0.66708	0.891984	3.79265
0.99999	1e-05	7.4	4139.04	0.666492	0.00723371	0.666492	0.891198	3.796
0.99999	1e-05	7.6	5055.44	0.665926	0.00710048	0.665926	0.890442	3.79922
0.99999	1e-05	7.8	6174.72	0.665382	0.00697213	0.665382	0.889714	3.80233
0.99999	1e-05	8	7541.82	0.664858	0.00684839	0.664858	0.889013	3.80532
0.99999	1e-05	8.2	9211.6	0.664353	0.00672903	0.664353	0.888338	3.80822
