l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
6.4269	0.389182	0.0617544
6.4602	0.389267	0.0617207
6.4935	0.389356	0.0616853
6.5268	0.38945	0.0616482
6.5601	0.389549	0.0616091
6.5934	0.389653	0.0615682
6.6267	0.389762	0.0615252
6.66	0.389877	0.06148
6.6933	0.389997	0.0614326
6.7266	0.390124	0.0613828
6.7599	0.390257	0.0613305
6.7932	0.390397	0.0612756
6.8265	0.390544	0.061218
6.8598	0.390699	0.0611575
6.8931	0.390861	0.061094
6.9264	0.391032	0.0610273
6.9597	0.391211	0.0609574
6.993	0.3914	0.060884
7.0263	0.391598	0.0608069
7.0596	0.391806	0.0607261
7.0929	0.392025	0.0606412
7.1262	0.392255	0.0605522
7.1595	0.392497	0.0604588
7.1928	0.392751	0.0603608
7.2261	0.393018	0.060258
7.2594	0.393299	0.0601502
7.2927	0.393594	0.0600372
7.326	0.393904	0.0599186
7.3593	0.39423	0.0597943
7.3926	0.394573	0.0596639
7.4259	0.394934	0.0595272
7.4592	0.395312	0.059384
7.4925	0.39571	0.0592338
7.5258	0.396129	0.0590765
7.5591	0.396569	0.0589116
7.5924	0.397031	0.0587389
7.6257	0.397518	0.058558
7.659	0.398029	0.0583685
7.6923	0.398566	0.0581701
7.7256	0.399131	0.0579623
7.7589	0.399725	0.0577449
7.7922	0.400349	0.0575173
7.8255	0.401006	0.0572792
7.8588	0.401696	0.05703
7.8921	0.402422	0.0567695
7.9254	0.403185	0.0564971
7.9587	0.403988	0.0562123
7.992	0.404832	0.0559146
8.0253	0.405719	0.0556037
8.0586	0.406652	0.0552789
8.0919	0.407634	0.0549397
8.1252	0.408666	0.0545857
8.1585	0.409752	0.0542163
8.1918	0.410894	0.053831
8.2251	0.412094	0.0534291
8.2584	0.413358	0.0530103
8.2917	0.414686	0.052574
8.325	0.416084	0.0521195
8.3583	0.417555	0.0516465
8.3916	0.419102	0.0511543
8.4249	0.420729	0.0506425
8.4582	0.422442	0.0501104
8.4915	0.424243	0.0495578
8.5248	0.426139	0.048984
8.5581	0.428134	0.0483886
