r0    rhos0    gamma0 
7.752   0.903544   9.94903e-55
7.832   0.903544   8.60798e-56
7.912   0.903544   7.25956e-57
7.992   0.903544   7.41675e-58
r7       rhos7       gamma7  
0   1   0.00042243 
0.024   0.998727   0.000360784
0.056   0.997495   0.00030822
0.088   0.996301   0.000263388
0.12   0.995144   0.000225143
0.152   0.994023   0.000192509
0.184   0.992935   0.000164658
0.216   0.99188   0.000140883
0.248   0.990856   0.000120584
0.28   0.989862   0.000103248
0.312   0.988896   8.84418e-05
0.344   0.987957   7.57923e-05
0.376   0.987045   6.49837e-05
0.408   0.986157   5.57463e-05
0.44   0.985292   4.78502e-05
0.472   0.98445   4.10995e-05
0.504   0.98363   3.53267e-05
0.536   0.982829   3.03893e-05
0.568   0.982047   2.61656e-05
0.6   0.981283   2.25515e-05
0.632   0.980535   1.94585e-05
0.664   0.979803   1.68106e-05
0.696   0.979084   1.45433e-05
0.728   0.978378   1.26012e-05
0.76   0.977683   1.09372e-05
0.792   0.976999   9.51088e-06
0.872   0.97532   6.77077e-06
